route,menu,page_type,status,priority,hero_background,design_sets,required_sections
/,Trang chủ,landing,in_progress,P0,bg-trang-chu-he-sinh-thai.webp,C01; Semantic Backgrounds,Hero; Đối tác; Về XTECH; Hệ sinh thái sản phẩm; Năng lực CĐS; Enterprise Platform; Business Value; Ngành/Phòng ban; Case Studies; Insights; CTA
/giai-phap,Giải pháp,landing,planned,P1,bg-giai-phap-hoi-tu.webp,C01; C02,Hero; Chuyển đổi số; Doanh nghiệp kết nối; Dữ liệu & AI; Tự động hóa; Tích hợp hệ thống; CTA
/giai-phap/chuyen-doi-so,Giải pháp,detail,handoff_ready,P0,,C02,Đánh giá trưởng thành số; Chiến lược & kiến trúc; Quy trình & tự động hóa; Data platform; Hiện đại hóa ứng dụng; Quản trị thay đổi; Vận hành cải tiến
/giai-phap/doanh-nghiep-ket-noi,Giải pháp,detail,planned,P2,,C01-05; C03-07 future,Kênh trải nghiệm; Ứng dụng doanh nghiệp; AI & tự động hóa; Dữ liệu & tích hợp; Hạ tầng & bảo mật
/giai-phap/du-lieu-va-ai,Giải pháp,detail,planned,P2,,C02-05; X.AI SET 12–16,Data Strategy; Data Platform; BI; Knowledge & RAG; Enterprise Agents; Governance; Deployment
/giai-phap/tu-dong-hoa,Giải pháp,detail,planned,P2,,C02-04,Process discovery; BPMN; Workflow; RPA; AI Agent; Human approval
/giai-phap/tich-hop-he-thong,Giải pháp,detail,planned,P2,,C02-06; C04 future,Legacy; Integration Hub; API Gateway; Event Bus; Modern apps; Cloud Native
/san-pham,Sản phẩm,landing,next_set,P0,bg-san-pham-nen-tang-mo-dun.webp,C03 future,Tổng quan hệ sinh thái; X.AI; XBooking; FinERP; XBuilding; X.Space; Nền tảng dùng chung; Hành trình liên thông
/san-pham/x-ai,Sản phẩm,product,visual_ready,P1,,SET 11–16,AI Platform; Enterprise Agents; Knowledge & RAG; Governance; Model & Prompt Center; Deployment
/san-pham/xbooking,Sản phẩm,product,visual_ready,P1,,SET 05–07,Marketing & Lead; CRM; Bảng hàng; Booking; Đại lý; Hợp đồng; CSKH
/san-pham/finerp,Sản phẩm,product,visual_ready,P1,,SET 08,Tài chính; Công nợ; Dòng tiền; Ngân sách; Hợp đồng; Báo cáo điều hành
